pair,ca,cb,feature,median_a,median_b,mean_a,mean_b,direction,p_value
Fusion casse vs Fusion synergie,C5_fusion_worst,C6_fusion_best,nb_cc_ET,2.0,2.0,4.401727861771058,4.292993630573249,=,0.890551139853684
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,vol_ET,12272.0,19688.5,16167.955414012738,23658.194871794873,<,7.418320625427699e-06
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,ratio_ET_WT,0.16443,0.237437,0.19762262420382168,0.25513633076923076,<,1.5955450854349774e-05
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,nb_cc_distmap_NCR,61.0,88.0,77.01273885350318,98.02820512820513,<,0.000468323942270768
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,nb_cc_baseline_NCR,54.0,72.0,69.06369426751593,84.58974358974359,<,0.002043562982327086
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,nb_cc_NCR,6.0,8.0,12.229299363057326,16.402564102564103,<,0.027147850913319473
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,vol_TC,25198.0,28589.0,32328.579617834395,35828.420512820514,<,0.0854478016686828
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,euler_TC,2.0,1.0,2.1656050955414012,2.4025641025641025,>,0.1222470882008341
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,frac_small_cc_ET,5e-05,2.05e-05,0.017819324840764327,0.0007017179487179486,>,0.24937400246223473
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,frac_small_cc_NCR,0.001759,0.0024825,0.03623583439490445,0.02345373333333333,<,0.25065928632994483
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,nb_cc_baseline_ET,2.0,2.0,3.56687898089172,2.805128205128205,=,0.29698384353557805
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,vol_WT,85112.0,91962.0,92102.3949044586,97127.18974358974,<,0.3655663198592345
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,euler_ET,0.0,0.0,-5.1847133757961785,-6.843589743589743,=,0.3818089703337718
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,euler_WT,1.0,1.0,2.5923566878980893,2.0358974358974358,=,0.4913905578740212
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,cc_spread_ET,0.3259,0.24655,3.692614649681529,3.2818771794871795,>,0.5164917104021151
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,pca_elongation_WT,1.7732,1.77855,1.9056477707006367,1.8843751282051282,<,0.5279006733973428
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,cavities_WT,3.0,2.0,9.095541401273886,8.271794871794873,>,0.5726525261319992
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,sphericity_WT,0.40115,0.3952595,0.40209221656050953,0.39765408461538454,>,0.6617820179894668
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,surface_roughness_WT,2.492836,2.529987,2.6530852929936306,2.6502648743589745,<,0.6617820179894668
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,nb_cc_distmap_ET,2.0,2.0,3.738853503184713,2.917948717948718,=,0.8402055371675349
Fusion gagne vs Fusion intermédiaire (B<D),C6_fusion_best,C3_fusion_between_B_lt_D,nb_cc_ET,2.0,2.0,4.292993630573249,4.064102564102564,=,0.955191477337625
